,Prompts,Output
0,JAVASCRIPT TEST: When I am on the https://www.Hyperpnea.com page then the page should have 'Kinswoman' in the title,"test(""should have 'Kinswoman' in the title when on the 'https://www.Hyperpnea.com' page"", async ({ page }) => {
  });"
14,JAVASCRIPT TEST: When I am on the https://www.Carboniferous.com page then the page should have 'Dental Procedure' in the title,"test(""should have 'Dental Procedure' in the title when on the 'https://www.Carboniferous.com' page"", async ({ page }) => {
    await page.goto('https://www.Carboniferous.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Dental Procedure');
  });"
15,JAVASCRIPT TEST: When I am on the https://www.Leresis.com page then the page should have 'Genyonemus' in the title,"test(""should have 'Genyonemus' in the title when on the 'https://www.Leresis.com' page"", async ({ page }) => {
    await page.goto('https://www.Leresis.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Genyonemus');
  });"
16,JAVASCRIPT TEST: When I am on the https://www.Mezereon.com page then the page should have 'Operator Gene' in the title,"test(""should have 'Operator Gene' in the title when on the 'https://www.Mezereon.com' page"", async ({ page }) => {
    await page.goto('https://www.Mezereon.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Operator Gene');
  });"
17,JAVASCRIPT TEST: When I am on the https://www.Rapid-City.com page then the page should have 'Maracay' in the title,"test(""should have 'Maracay' in the title when on the 'https://www.Rapid-City.com' page"", async ({ page }) => {
    await page.goto('https://www.Rapid-City.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Maracay');
  });"
18,JAVASCRIPT TEST: When I am on the https://www.Burp-Gun.com page then the page should have 'Cooking Apple' in the title,"test(""should have 'Cooking Apple' in the title when on the 'https://www.Burp-Gun.com' page"", async ({ page }) => {
    await page.goto('https://www.Burp-Gun.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Cooking Apple');
  });"
19,JAVASCRIPT TEST: When I am on the https://www.Water-Clover.com page then the page should have 'Chrysoberyl' in the title,"test(""should have 'Chrysoberyl' in the title when on the 'https://www.Water-Clover.com' page"", async ({ page }) => {
    await page.goto('https://www.Water-Clover.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Chrysoberyl');
  });"
20,JAVASCRIPT TEST: When I am on the https://www.Genus-Genipa.com page then the page should have 'Hepatic Lobe' in the title,"test(""should have 'Hepatic Lobe' in the title when on the 'https://www.Genus-Genipa.com' page"", async ({ page }) => {
    await page.goto('https://www.Genus-Genipa.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Hepatic Lobe');
  });"
21,JAVASCRIPT TEST: When I am on the https://www.Synodontidae.com page then the page should have 'Magnesium Bicarbonate' in the title,"test(""should have 'Magnesium Bicarbonate' in the title when on the 'https://www.Synodontidae.com' page"", async ({ page }) => {
    await page.goto('https://www.Synodontidae.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Magnesium Bicarbonate');
  });"
22,JAVASCRIPT TEST: When I am on the https://www.Branchiobdella.com page then the page should have 'Tchaikovsky' in the title,"test(""should have 'Tchaikovsky' in the title when on the 'https://www.Branchiobdella.com' page"", async ({ page }) => {
    await page.goto('https://www.Branchiobdella.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Tchaikovsky');
  });"
23,JAVASCRIPT TEST: When I am on the https://www.Family-Room.com page then the page should have 'Apomorphine' in the title,"test(""should have 'Apomorphine' in the title when on the 'https://www.Family-Room.com' page"", async ({ page }) => {
    await page.goto('https://www.Family-Room.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Apomorphine');
  });"
24,JAVASCRIPT TEST: When I am on the https://www.Amphibrach.com page then the page should have 'Neurohormone' in the title,"test(""should have 'Neurohormone' in the title when on the 'https://www.Amphibrach.com' page"", async ({ page }) => {
    await page.goto('https://www.Amphibrach.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Neurohormone');
  });"
25,JAVASCRIPT TEST: When I am on the https://www.Address.com page then the page should have 'Swaziland' in the title,"test(""should have 'Swaziland' in the title when on the 'https://www.Address.com' page"", async ({ page }) => {
    await page.goto('https://www.Address.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Swaziland');
  });"
26,JAVASCRIPT TEST: When I am on the https://www.Tertiary.com page then the page should have 'Silver Age' in the title,"test(""should have 'Silver Age' in the title when on the 'https://www.Tertiary.com' page"", async ({ page }) => {
    await page.goto('https://www.Tertiary.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Silver Age');
  });"
27,JAVASCRIPT TEST: When I am on the https://www.Carpet-Snake.com page then the page should have 'Veterans Of Foreign Wars' in the title,"test(""should have 'Veterans Of Foreign Wars' in the title when on the 'https://www.Carpet-Snake.com' page"", async ({ page }) => {
    await page.goto('https://www.Carpet-Snake.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Veterans Of Foreign Wars');
  });"
28,JAVASCRIPT TEST: When I am on the https://www.Kaffiyeh.com page then the page should have 'Tuscarora' in the title,"test(""should have 'Tuscarora' in the title when on the 'https://www.Kaffiyeh.com' page"", async ({ page }) => {
    await page.goto('https://www.Kaffiyeh.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Tuscarora');
  });"
29,JAVASCRIPT TEST: When I am on the https://www.Coreidae.com page then the page should have 'Laurel And Hardy' in the title,"test(""should have 'Laurel And Hardy' in the title when on the 'https://www.Coreidae.com' page"", async ({ page }) => {
    await page.goto('https://www.Coreidae.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Laurel And Hardy');
  });"
30,JAVASCRIPT TEST: When I am on the https://www.Topgallant.com page then the page should have 'Auditory Agnosia' in the title,"test(""should have 'Auditory Agnosia' in the title when on the 'https://www.Topgallant.com' page"", async ({ page }) => {
    await page.goto('https://www.Topgallant.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Auditory Agnosia');
  });"
31,JAVASCRIPT TEST: When I am on the https://www.Cleaning.com page then the page should have 'Stock Company' in the title,"test(""should have 'Stock Company' in the title when on the 'https://www.Cleaning.com' page"", async ({ page }) => {
    await page.goto('https://www.Cleaning.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Stock Company');
  });"
32,JAVASCRIPT TEST: When I am on the https://www.Barranquilla.com page then the page should have 'Bering Strait' in the title,"test(""should have 'Bering Strait' in the title when on the 'https://www.Barranquilla.com' page"", async ({ page }) => {
    await page.goto('https://www.Barranquilla.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Bering Strait');
  });"
33,JAVASCRIPT TEST: When I am on the https://www.Arctic-Ocean.com page then the page should have 'Lubricating System' in the title,"test(""should have 'Lubricating System' in the title when on the 'https://www.Arctic-Ocean.com' page"", async ({ page }) => {
    await page.goto('https://www.Arctic-Ocean.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Lubricating System');
  });"
34,JAVASCRIPT TEST: When I am on the https://www.Adhesiveness.com page then the page should have 'Mitchella' in the title,"test(""should have 'Mitchella' in the title when on the 'https://www.Adhesiveness.com' page"", async ({ page }) => {
    await page.goto('https://www.Adhesiveness.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Mitchella');
  });"
35,JAVASCRIPT TEST: When I am on the https://www.Amaethon.com page then the page should have 'Cardioid Microphone' in the title,"test(""should have 'Cardioid Microphone' in the title when on the 'https://www.Amaethon.com' page"", async ({ page }) => {
    await page.goto('https://www.Amaethon.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Cardioid Microphone');
  });"
36,JAVASCRIPT TEST: When I am on the https://www.Vertebrate-Foot.com page then the page should have 'Arctostaphylos' in the title,"test(""should have 'Arctostaphylos' in the title when on the 'https://www.Vertebrate-Foot.com' page"", async ({ page }) => {
    await page.goto('https://www.Vertebrate-Foot.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Arctostaphylos');
  });"
37,JAVASCRIPT TEST: When I am on the https://www.Drip-Feed.com page then the page should have 'Triple-Spacing' in the title,"test(""should have 'Triple-Spacing' in the title when on the 'https://www.Drip-Feed.com' page"", async ({ page }) => {
    await page.goto('https://www.Drip-Feed.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Triple-Spacing');
  });"
38,JAVASCRIPT TEST: When I am on the https://www.Voicelessness.com page then the page should have 'Fried Rice' in the title,"test(""should have 'Fried Rice' in the title when on the 'https://www.Voicelessness.com' page"", async ({ page }) => {
    await page.goto('https://www.Voicelessness.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Fried Rice');
  });"
39,JAVASCRIPT TEST: When I am on the https://www.Philippine.com page then the page should have 'Slingshot' in the title,"test(""should have 'Slingshot' in the title when on the 'https://www.Philippine.com' page"", async ({ page }) => {
    await page.goto('https://www.Philippine.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Slingshot');
  });"
40,JAVASCRIPT TEST: When I am on the https://www.Newcomer.com page then the page should have 'Pyrolusite' in the title,"test(""should have 'Pyrolusite' in the title when on the 'https://www.Newcomer.com' page"", async ({ page }) => {
    await page.goto('https://www.Newcomer.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Pyrolusite');
  });"
41,JAVASCRIPT TEST: When I am on the https://www.Abdominal-Actinomycosis.com page then the page should have 'Halesia' in the title,"test(""should have 'Halesia' in the title when on the 'https://www.Abdominal-Actinomycosis.com' page"", async ({ page }) => {
    await page.goto('https://www.Abdominal-Actinomycosis.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Halesia');
  });"
42,JAVASCRIPT TEST: When I am on the https://www.Telpher.com page then the page should have 'Marsala' in the title,"test(""should have 'Marsala' in the title when on the 'https://www.Telpher.com' page"", async ({ page }) => {
    await page.goto('https://www.Telpher.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Marsala');
  });"
43,JAVASCRIPT TEST: When I am on the https://www.Pulasan.com page then the page should have 'Damask Violet' in the title,"test(""should have 'Damask Violet' in the title when on the 'https://www.Pulasan.com' page"", async ({ page }) => {
    await page.goto('https://www.Pulasan.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Damask Violet');
  });"
44,JAVASCRIPT TEST: When I am on the https://www.Unattainableness.com page then the page should have 'Sylvanus' in the title,"test(""should have 'Sylvanus' in the title when on the 'https://www.Unattainableness.com' page"", async ({ page }) => {
    await page.goto('https://www.Unattainableness.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Sylvanus');
  });"
45,JAVASCRIPT TEST: When I am on the https://www.Furring-Strip.com page then the page should have 'Sigmoid Colon' in the title,"test(""should have 'Sigmoid Colon' in the title when on the 'https://www.Furring-Strip.com' page"", async ({ page }) => {
    await page.goto('https://www.Furring-Strip.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Sigmoid Colon');
  });"
46,JAVASCRIPT TEST: When I am on the https://www.Smooth-Sumac.com page then the page should have 'Breadfruit' in the title,"test(""should have 'Breadfruit' in the title when on the 'https://www.Smooth-Sumac.com' page"", async ({ page }) => {
    await page.goto('https://www.Smooth-Sumac.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Breadfruit');
  });"
47,JAVASCRIPT TEST: When I am on the https://www.Double-Dipping.com page then the page should have 'Viscometry' in the title,"test(""should have 'Viscometry' in the title when on the 'https://www.Double-Dipping.com' page"", async ({ page }) => {
    await page.goto('https://www.Double-Dipping.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Viscometry');
  });"
48,JAVASCRIPT TEST: When I am on the https://www.Free-Time.com page then the page should have 'Allergist' in the title,"test(""should have 'Allergist' in the title when on the 'https://www.Free-Time.com' page"", async ({ page }) => {
    await page.goto('https://www.Free-Time.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Allergist');
  });"
49,JAVASCRIPT TEST: When I am on the https://www.Physical-Pendulum.com page then the page should have 'Tritheism' in the title,"test(""should have 'Tritheism' in the title when on the 'https://www.Physical-Pendulum.com' page"", async ({ page }) => {
    await page.goto('https://www.Physical-Pendulum.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Tritheism');
  });"
50,JAVASCRIPT TEST: When I am on the https://www.Chess-Master.com page then the page should have 'Female Aristocrat' in the title,"test(""should have 'Female Aristocrat' in the title when on the 'https://www.Chess-Master.com' page"", async ({ page }) => {
    await page.goto('https://www.Chess-Master.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Female Aristocrat');
  });"
51,JAVASCRIPT TEST: When I am on the https://www.Poison-Milkweed.com page then the page should have 'Fire Pink' in the title,"test(""should have 'Fire Pink' in the title when on the 'https://www.Poison-Milkweed.com' page"", async ({ page }) => {
    await page.goto('https://www.Poison-Milkweed.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Fire Pink');
  });"
52,JAVASCRIPT TEST: When I am on the https://www.Frostweed.com page then the page should have 'Integer' in the title,"test(""should have 'Integer' in the title when on the 'https://www.Frostweed.com' page"", async ({ page }) => {
    await page.goto('https://www.Frostweed.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Integer');
  });"
53,JAVASCRIPT TEST: When I am on the https://www.Holding-Cell.com page then the page should have 'Hyponym' in the title,"test(""should have 'Hyponym' in the title when on the 'https://www.Holding-Cell.com' page"", async ({ page }) => {
    await page.goto('https://www.Holding-Cell.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Hyponym');
  });"
54,JAVASCRIPT TEST: When I am on the https://www.Australian-Alps.com page then the page should have 'Te Kanawa' in the title,"test(""should have 'Te Kanawa' in the title when on the 'https://www.Australian-Alps.com' page"", async ({ page }) => {
    await page.goto('https://www.Australian-Alps.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Te Kanawa');
  });"
55,JAVASCRIPT TEST: When I am on the https://www.Swallow.com page then the page should have 'Escalade' in the title,"test(""should have 'Escalade' in the title when on the 'https://www.Swallow.com' page"", async ({ page }) => {
    await page.goto('https://www.Swallow.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Escalade');
  });"
56,JAVASCRIPT TEST: When I am on the https://www.Raphael.com page then the page should have 'Enchanter' in the title,"test(""should have 'Enchanter' in the title when on the 'https://www.Raphael.com' page"", async ({ page }) => {
    await page.goto('https://www.Raphael.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Enchanter');
  });"
57,JAVASCRIPT TEST: When I am on the https://www.Homozygote.com page then the page should have 'Eleocharis' in the title,"test(""should have 'Eleocharis' in the title when on the 'https://www.Homozygote.com' page"", async ({ page }) => {
    await page.goto('https://www.Homozygote.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Eleocharis');
  });"
58,JAVASCRIPT TEST: When I am on the https://www.Chlorophoneus.com page then the page should have 'Hepatitis A' in the title,"test(""should have 'Hepatitis A' in the title when on the 'https://www.Chlorophoneus.com' page"", async ({ page }) => {
    await page.goto('https://www.Chlorophoneus.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Hepatitis A');
  });"
59,JAVASCRIPT TEST: When I am on the https://www.Vertebrata.com page then the page should have 'Foreigner' in the title,"test(""should have 'Foreigner' in the title when on the 'https://www.Vertebrata.com' page"", async ({ page }) => {
    await page.goto('https://www.Vertebrata.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Foreigner');
  });"
60,JAVASCRIPT TEST: When I am on the https://www.Ametropia.com page then the page should have 'Mahatma' in the title,"test(""should have 'Mahatma' in the title when on the 'https://www.Ametropia.com' page"", async ({ page }) => {
    await page.goto('https://www.Ametropia.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Mahatma');
  });"
61,JAVASCRIPT TEST: When I am on the https://www.Tobacco-Pouch.com page then the page should have 'German American' in the title,"test(""should have 'German American' in the title when on the 'https://www.Tobacco-Pouch.com' page"", async ({ page }) => {
    await page.goto('https://www.Tobacco-Pouch.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('German American');
  });"
62,JAVASCRIPT TEST: When I am on the https://www.Molybdenum-Steel.com page then the page should have 'Checkup' in the title,"test(""should have 'Checkup' in the title when on the 'https://www.Molybdenum-Steel.com' page"", async ({ page }) => {
    await page.goto('https://www.Molybdenum-Steel.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Checkup');
  });"
63,JAVASCRIPT TEST: When I am on the https://www.Phytochemist.com page then the page should have 'Cervical Canal' in the title,"test(""should have 'Cervical Canal' in the title when on the 'https://www.Phytochemist.com' page"", async ({ page }) => {
    await page.goto('https://www.Phytochemist.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Cervical Canal');
  });"
64,JAVASCRIPT TEST: When I am on the https://www.Craniotomy.com page then the page should have 'Shipbuilding Industry' in the title,"test(""should have 'Shipbuilding Industry' in the title when on the 'https://www.Craniotomy.com' page"", async ({ page }) => {
    await page.goto('https://www.Craniotomy.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Shipbuilding Industry');
  });"
65,JAVASCRIPT TEST: When I am on the https://www.Flashback.com page then the page should have 'Serving Cart' in the title,"test(""should have 'Serving Cart' in the title when on the 'https://www.Flashback.com' page"", async ({ page }) => {
    await page.goto('https://www.Flashback.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Serving Cart');
  });"
66,JAVASCRIPT TEST: When I am on the https://www.Tubercularia.com page then the page should have 'Kangaroo Rat' in the title,"test(""should have 'Kangaroo Rat' in the title when on the 'https://www.Tubercularia.com' page"", async ({ page }) => {
    await page.goto('https://www.Tubercularia.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Kangaroo Rat');
  });"
67,JAVASCRIPT TEST: When I am on the https://www.Grammatical-Relation.com page then the page should have 'Punctum' in the title,"test(""should have 'Punctum' in the title when on the 'https://www.Grammatical-Relation.com' page"", async ({ page }) => {
    await page.goto('https://www.Grammatical-Relation.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Punctum');
  });"
68,JAVASCRIPT TEST: When I am on the https://www.Huisache.com page then the page should have 'Indicative Mood' in the title,"test(""should have 'Indicative Mood' in the title when on the 'https://www.Huisache.com' page"", async ({ page }) => {
    await page.goto('https://www.Huisache.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Indicative Mood');
  });"
69,JAVASCRIPT TEST: When I am on the https://www.Slatternliness.com page then the page should have 'Ivorybill' in the title,"test(""should have 'Ivorybill' in the title when on the 'https://www.Slatternliness.com' page"", async ({ page }) => {
    await page.goto('https://www.Slatternliness.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Ivorybill');
  });"
70,JAVASCRIPT TEST: When I am on the https://www.Shoshonean.com page then the page should have 'Black Bass' in the title,"test(""should have 'Black Bass' in the title when on the 'https://www.Shoshonean.com' page"", async ({ page }) => {
    await page.goto('https://www.Shoshonean.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Black Bass');
  });"
71,JAVASCRIPT TEST: When I am on the https://www.Paul-Vi.com page then the page should have 'Radioprotection' in the title,"test(""should have 'Radioprotection' in the title when on the 'https://www.Paul-Vi.com' page"", async ({ page }) => {
    await page.goto('https://www.Paul-Vi.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Radioprotection');
  });"
72,JAVASCRIPT TEST: When I am on the https://www.Van-Der-Waal'S-Forces.com page then the page should have 'Tanager' in the title,"test(""should have 'Tanager' in the title when on the 'https://www.Van-Der-Waal'S-Forces.com' page"", async ({ page }) => {
    await page.goto('https://www.Van-Der-Waal'S-Forces.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Tanager');
  });"
73,JAVASCRIPT TEST: When I am on the https://www.Saddleback.com page then the page should have 'Celtuce' in the title,"test(""should have 'Celtuce' in the title when on the 'https://www.Saddleback.com' page"", async ({ page }) => {
    await page.goto('https://www.Saddleback.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Celtuce');
  });"
74,JAVASCRIPT TEST: When I am on the https://www.Coincidence.com page then the page should have 'Mismanagement' in the title,"test(""should have 'Mismanagement' in the title when on the 'https://www.Coincidence.com' page"", async ({ page }) => {
    await page.goto('https://www.Coincidence.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Mismanagement');
  });"
75,JAVASCRIPT TEST: When I am on the https://www.Screen-Actor.com page then the page should have 'Costal Groove' in the title,"test(""should have 'Costal Groove' in the title when on the 'https://www.Screen-Actor.com' page"", async ({ page }) => {
    await page.goto('https://www.Screen-Actor.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Costal Groove');
  });"
76,JAVASCRIPT TEST: When I am on the https://www.Flexor-Muscle.com page then the page should have 'Naprapathy' in the title,"test(""should have 'Naprapathy' in the title when on the 'https://www.Flexor-Muscle.com' page"", async ({ page }) => {
    await page.goto('https://www.Flexor-Muscle.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Naprapathy');
  });"
77,JAVASCRIPT TEST: When I am on the https://www.Genus-Alstroemeria.com page then the page should have 'Stink Bell' in the title,"test(""should have 'Stink Bell' in the title when on the 'https://www.Genus-Alstroemeria.com' page"", async ({ page }) => {
    await page.goto('https://www.Genus-Alstroemeria.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Stink Bell');
  });"
78,JAVASCRIPT TEST: When I am on the https://www.Belted-Kingfisher.com page then the page should have 'Francis Of Assisi' in the title,"test(""should have 'Francis Of Assisi' in the title when on the 'https://www.Belted-Kingfisher.com' page"", async ({ page }) => {
    await page.goto('https://www.Belted-Kingfisher.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Francis Of Assisi');
  });"
79,JAVASCRIPT TEST: When I am on the https://www.Bikini-Pants.com page then the page should have 'Diphylla' in the title,"test(""should have 'Diphylla' in the title when on the 'https://www.Bikini-Pants.com' page"", async ({ page }) => {
    await page.goto('https://www.Bikini-Pants.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Diphylla');
  });"
80,JAVASCRIPT TEST: When I am on the https://www.Dexterity.com page then the page should have 'Hominidae' in the title,"test(""should have 'Hominidae' in the title when on the 'https://www.Dexterity.com' page"", async ({ page }) => {
    await page.goto('https://www.Dexterity.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Hominidae');
  });"
81,JAVASCRIPT TEST: When I am on the https://www.Herbage.com page then the page should have 'Manifest' in the title,"test(""should have 'Manifest' in the title when on the 'https://www.Herbage.com' page"", async ({ page }) => {
    await page.goto('https://www.Herbage.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Manifest');
  });"
82,JAVASCRIPT TEST: When I am on the https://www.Gillette.com page then the page should have 'Vespasian' in the title,"test(""should have 'Vespasian' in the title when on the 'https://www.Gillette.com' page"", async ({ page }) => {
    await page.goto('https://www.Gillette.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Vespasian');
  });"
83,JAVASCRIPT TEST: When I am on the https://www.Sense-Of-Shame.com page then the page should have 'Scrimshaw' in the title,"test(""should have 'Scrimshaw' in the title when on the 'https://www.Sense-Of-Shame.com' page"", async ({ page }) => {
    await page.goto('https://www.Sense-Of-Shame.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Scrimshaw');
